invoice_id,supplier_id,buyer_id,lender_id,GSTIN,amount,date,PO_id,GRN_id,fraud_flag,gst_amount,po_number,grn_number,invoice_hash,duplicate_flag,fingerprint,near_duplicate,supplier_invoice_count,supplier_avg_amount,amount_deviation,lender_count,po_grn_match,po_missing,grn_missing,expected_gst,gst_deviation,gst_mismatch_flag,in_circular_cycle,graph_centrality,cascade_exposure_size,high_amount_flag,high_frequency_flag,supplier_id_enc,buyer_id_enc,lender_id_enc,anomaly_score,ml_fraud_flag,risk_score,final_flag,reason
INV1,SUP16,BUY84,LEN2,16PHMUQ1627CLZA,39741,2024-09-16,PO139,GRN272,0,0.0,,,d03401ff655641295aed04efc07a45fd05321d33fa59db548be4dc9aaf5d9629,0,16PHMUQ1627CLZA 39741 2024-09-16 SUP16,0,45,72919.33333333333,33178.33333333333,2,0,1,1,7153.38,0.9998602254842488,1,0,0.11246200607902736,330,0,0,67,83,11,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV2,SUP163,BUY62,LEN6,35NUHQP5851JKZT,83406,2024-12-21,PO356,GRN64,0,0.0,,,09a4261676417f39cdf85682b4182966fe883d7e0636326a4b88df8529d547a3,0,35NUHQP5851JKZT 83406 2024-12-21 SUP163,0,45,55849.75555555556,27556.24444444444,1,0,1,1,15013.08,0.9999333958524266,1,0,0.1094224924012158,330,0,0,71,59,26,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV3,SUP70,BUY87,LEN21,26TCLIP2517VNZI,3979,2024-06-16,PO303,GRN204,1,0.0,,,3c8e89d794b1d93fa3f85c7e757dd6ca6b30e30083761136aeabb375503510dd,0,26TCLIP2517VNZI 3979 2024-06-16 SUP70,0,47,59780.14893617021,55801.14893617021,1,0,1,1,716.22,0.9986057276707286,1,0,0.1094224924012158,330,0,0,168,86,13,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV4,SUP168,BUY52,LEN9,06QOOUH8491NLZK,36922,2024-03-22,PO436,GRN93,0,0.0,,,9bad50a95658e559c9d118a5ff95125c04d7b0003f412cca4d6c8c18ca9300db,0,06QOOUH8491NLZK 36922 2024-03-22 SUP168,0,53,64141.16981132075,27219.169811320753,1,0,1,1,6645.96,0.9998495552854237,1,0,0.13069908814589665,330,0,0,76,48,29,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV5,SUP23,BUY94,LEN18,05UKDOS2466TUZG,78999,2024-08-28,PO300,GRN22,0,0.0,,,2c055291f2d6ca2761b6547f369a29bcd4af7e0fbb9f97426d27fb383a8d4dd8,0,05UKDOS2466TUZG 78999 2024-08-28 SUP23,0,50,69032.06,9966.940000000002,1,0,1,1,14219.82,0.9999296805669434,1,0,0.1276595744680851,330,0,0,116,94,9,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV6,SUP148,BUY90,LEN4,15YXQEC9415MKZZ,39697,2024-01-03,PO8,GRN306,0,0.0,,,957642ae9520587f23289b578965a22fda934f2862cfd0ce404c9bf2b3e1d634,0,15YXQEC9415MKZZ 39697 2024-01-03 SUP148,0,65,62850.36923076923,23153.369230769233,1,0,1,1,7145.46,0.9998600705803993,1,0,0.14285714285714285,330,0,1,54,90,24,1,0,15,0,"GST Mismatch, High Activity, PO Missing, GRN Missing"
INV7,SUP184,BUY63,LEN6,31DPKGM3141USZZ,10476,2024-01-05,PO72,GRN70,0,0.0,,,13f336c4275c9eac122a82ef9745624a7e1cf866b93e4fb62e43151f811fb639,0,31DPKGM3141USZZ 10476 2024-01-05 SUP184,0,57,61116.31578947369,50640.31578947369,5,0,1,1,1885.6799999999998,0.9994699684101173,1,0,0.12462006079027356,330,0,0,94,60,26,-1,1,32,1,"ML Anomaly, GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV8,SUP169,BUY72,LEN4,34KHYRO1721KPZD,68279,2024-11-28,PO187,GRN211,0,0.0,,,312d9032342778057503fb7389ea57ba7ba472c71d5d651ad39f6e7ed17f4e41,0,34KHYRO1721KPZD 68279 2024-11-28 SUP169,0,49,79168.02040816327,10889.02040816327,2,0,1,1,12290.22,0.9999186411112974,1,0,0.11854103343465046,330,0,0,77,70,24,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV9,SUP117,BUY22,LEN13,06BTUYG2794DNZG,62604,2024-06-14,PO302,GRN228,0,0.0,,,c54e74c9abd672b2e013b0a2717bc5dfb93c6ee66191481d93c49d835e4b2977,0,06BTUYG2794DNZG 62604 2024-06-14 SUP117,0,45,64578.22222222222,1974.222222222219,1,0,1,1,11268.72,0.999911266650813,1,0,0.1033434650455927,330,0,0,20,15,4,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV10,SUP29,BUY71,LEN19,15EQIUI4081IAZU,52846,2024-01-18,PO245,GRN461,0,0.0,,,629dc4fb6c674b0e657f24d3de21746ca7b352df05c6b57505a8dbc1c3e0d0dc,0,15EQIUI4081IAZU 52846 2024-01-18 SUP29,0,48,69592.95833333333,16746.95833333333,3,0,1,1,9512.279999999999,0.9998948837835111,1,0,0.10638297872340426,330,0,0,122,69,10,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV11,SUP192,BUY23,LEN16,31DPKGM3141USZZ,28842,2024-04-02,PO407,GRN393,1,0.0,,,241379ce6672a233d099a3980d15331ea48ce01073c61842278f1b59363e8737,0,31DPKGM3141USZZ 28842 2024-04-02 SUP192,0,41,58217.26829268293,29375.26829268293,5,0,1,1,5191.5599999999995,0.9998074167655261,1,0,0.10030395136778116,330,0,0,103,16,7,-1,1,32,1,"ML Anomaly, GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV12,SUP171,BUY30,LEN27,31KGUHM5969FVZB,42315,2024-09-21,PO303,GRN386,1,0.0,,,dfeb0c32893f80d199378990b90d6ff2b59d41191ba4060fe901018b84dd2e4f,0,31KGUHM5969FVZB 42315 2024-09-21 SUP171,0,48,63039.583333333336,20724.583333333336,2,0,1,1,7616.7,0.9998687267810494,1,0,0.11854103343465046,330,0,0,80,24,19,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV13,SUP40,BUY68,LEN29,31VSBZM5634SMZX,18294,2024-04-03,PO60,GRN162,1,0.0,,,a8c0ee3db5ef286bb584bc043d0dc43c9e41fd7ffe776e17fe32c2ec1f42ce8c,0,31VSBZM5634SMZX 18294 2024-04-03 SUP40,0,50,64218.92,45924.92,2,0,1,1,3292.92,0.99969641035605,1,0,0.11246200607902736,330,0,0,135,65,21,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
