invoice_id,supplier_id,buyer_id,lender_id,GSTIN,amount,date,PO_id,GRN_id,fraud_flag
INV1,SUP16,BUY84,LEN2,16PHMUQ1627CLZA,39741,16-09-2024,PO139,GRN272,0
INV2,SUP163,BUY62,LEN6,35NUHQP5851JKZT,83406,21-12-2024,PO356,GRN64,0
INV3,SUP70,BUY87,LEN21,26TCLIP2517VNZI,3979,16-06-2024,PO303,GRN204,1
INV4,SUP168,BUY52,LEN9,06QOOUH8491NLZK,36922,22-03-2024,PO436,GRN93,0
INV5,SUP23,BUY94,LEN18,05UKDOS2466TUZG,78999,28-08-2024,PO300,GRN22,0
INV6,SUP148,BUY90,LEN4,15YXQEC9415MKZZ,39697,03-01-2024,PO8,GRN306,0
INV7,SUP184,BUY63,LEN6,31DPKGM3141USZZ,10476,05-01-2024,PO72,GRN70,0
INV8,SUP169,BUY72,LEN4,34KHYRO1721KPZD,68279,28-11-2024,PO187,GRN211,0
INV9,SUP117,BUY22,LEN13,06BTUYG2794DNZG,62604,14-06-2024,PO302,GRN228,0
INV10,SUP29,BUY71,LEN19,15EQIUI4081IAZU,52846,18-01-2024,PO245,GRN461,0
INV11,SUP192,BUY23,LEN16,31DPKGM3141USZZ,28842,02-04-2024,PO407,GRN393,1
INV12,SUP171,BUY30,LEN27,31KGUHM5969FVZB,42315,21-09-2024,PO303,GRN386,1
INV13,SUP40,BUY68,LEN29,31VSBZM5634SMZX,18294,03-04-2024,PO60,GRN162,1
INV14,SUP4,BUY67,LEN13,37WHCAI4632DNZM,49727,16-10-2024,PO137,GRN309,0
INV15,SUP135,BUY44,LEN7,15EQIUI4081IAZU,67116,19-07-2024,PO378,GRN461,1
INV16,SUP71,BUY92,LEN16,16JWFWT2340UDZN,38155,08-06-2024,PO118,GRN457,0
INV17,SUP104,BUY97,LEN19,30VWMGR9530EQZK,56919,10-01-2024,PO449,GRN154,0
INV18,SUP43,BUY64,LEN14,28GNRWT4106PVZQ,70690,18-12-2024,PO419,GRN81,0
INV19,SUP66,BUY33,LEN10,12IGNCQ4377FXZR,46484,03-12-2024,PO111,GRN115,0
INV20,SUP63,BUY8,LEN17,22POBRM5540NKZO,299075,15-12-2024,PO293,GRN242,1
INV21,SUP145,BUY86,LEN19,27GFBZM0822QXZX,499392,04-03-2024,PO274,GRN199,1
INV22,SUP187,BUY92,LEN1,11XVDFL8067ZAZU,6898,23-12-2024,PO41,GRN465,0
INV23,SUP108,BUY72,LEN20,15TJQOY9279TYZB,214771,27-07-2024,PO60,GRN64,1
INV24,SUP38,BUY12,LEN7,08YHREV8170DLZO,47686,15-07-2024,PO398,GRN480,0
INV25,SUP22,BUY74,LEN10,15DHDEQ7114QSZV,20118,17-09-2024,PO177,GRN223,0
INV26,SUP75,BUY15,LEN17,31SJIDV6518ERZP,99214,03-05-2024,PO392,GRN201,0
INV27,SUP186,BUY31,LEN8,12IGNCQ4377FXZR,71743,20-12-2024,PO382,GRN200,1
INV28,SUP92,BUY80,LEN5,04XDTAN3004KJZF,3637,23-05-2024,PO202,GRN243,0
INV29,SUP122,BUY34,LEN21,01RVXRI7893EOZT,57991,26-05-2024,PO39,GRN390,1
INV30,SUP107,BUY60,LEN18,05XYVXL4097JQZK,16312,03-11-2024,PO99,GRN286,0
INV31,SUP9,BUY94,LEN15,16COYQE7946VCZQ,70430,03-02-2024,PO4,GRN140,0
INV32,SUP31,BUY91,LEN6,34JFCOZ6231RZZJ,34555,15-12-2024,PO207,GRN219,0
INV33,SUP175,BUY79,LEN17,27ZKMRT8015QTZL,44724,14-04-2024,PO483,GRN218,0
INV34,SUP4,BUY7,LEN16,27YEVAU3052XIZZ,86622,11-02-2024,PO324,GRN155,0
INV35,SUP51,BUY100,LEN7,14KKDOK5166NLZC,38030,17-05-2024,PO256,GRN128,0
INV36,SUP90,BUY69,LEN27,16ULHJJ7333JDZD,4814,13-05-2024,PO399,GRN308,1
INV37,SUP122,BUY40,LEN7,11DJFAI9699WRZB,31957,27-02-2024,PO198,GRN349,0
INV38,SUP68,BUY69,LEN1,05YOPVF0044BSZO,46875,10-07-2024,PO31,GRN210,0
INV39,SUP91,BUY89,LEN16,23CSPYT2479YXZO,23106,27-09-2024,PO292,GRN62,0
INV40,SUP102,BUY12,LEN9,22KHWDZ6292VPZW,56204,08-02-2024,PO297,GRN481,0
INV41,SUP87,BUY79,LEN10,21NNIZL2196WHZK,87905,02-11-2024,PO28,GRN202,0
INV42,SUP24,BUY14,LEN9,31DPKGM3141USZZ,71718,12-09-2024,PO234,GRN374,1
